순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
5,전필,국문학개론,가좌캠퍼스,3.0,"금1,2,3[101-0352]","금1,2,3[101-0352]",,국어국문학과,
6,전선,한국언어·문학·문화현장답사,가좌캠퍼스,1.0,수4[101-0348],수4[101-0348],,국어국문학과,
7,전선,문학문화비평,가좌캠퍼스,3.0,"월8,9,10[101-0348]","월8,9,10[101-0348]",,국어국문학과,
8,전선,한국어음운론,가좌캠퍼스,3.0,"월1,2[101-0348],수3[101-0348]","월1,2[101-0348]",수3[101-0348],국어국문학과,
9,전선,시창작론,가좌캠퍼스,3.0,"화8,9[101-0348],목9[101-0348]","화8,9[101-0348]",목9[101-0348],국어국문학과,
10,전선,설화와문화콘텐츠,가좌캠퍼스,3.0,"월6,7[101-0348],목5[101-0348]","월6,7[101-0348]",목5[101-0348],국어국문학과,
11,전선,고전소설의이해,가좌캠퍼스,3.0,"화5[101-0352],목6,7[101-0352]",화5[101-0352],"목6,7[101-0352]",국어국문학과,
12,전선,고전문학사,가좌캠퍼스,3.0,"월8,9[101-0244],목8[101-0244]","월8,9[101-0244]",목8[101-0244],국어국문학과,
13,전선,현대소설론,가좌캠퍼스,3.0,"수1,2,3[101-0352]","수1,2,3[101-0352]",,국어국문학과,
14,전선,작가작품론,가좌캠퍼스,3.0,"화5[101-0348],목6,7[101-0348]",화5[101-0348],"목6,7[101-0348]",국어국문학과,
15,전선,글로컬시대지역의언어와문화,가좌캠퍼스,3.0,"월1,2,3[101-0352]","월1,2,3[101-0352]",,국어국문학과,
16,전선,한국어형태론,가좌캠퍼스,3.0,"화1,2[101-0348],목3[101-0348]","화1,2[101-0348]",목3[101-0348],국어국문학과,
17,전선,고전산문읽기,가좌캠퍼스,3.0,"월5[101-0136],수6,7[101-0136]",월5[101-0136],"수6,7[101-0136]",국어국문학과,
18,전선,젠더문화론,가좌캠퍼스,3.0,"화3[101-0348],금1,2[101-0348]",화3[101-0348],"금1,2[101-0348]",국어국문학과,
19,전선,한국어의미론,가좌캠퍼스,3.0,"월6,7[101-0352],목5[101-0352]","월6,7[101-0352]",목5[101-0352],국어국문학과,
20,전선,한국어방언학,가좌캠퍼스,3.0,"월5[101-0352],수6,7[101-0352]",월5[101-0352],"수6,7[101-0352]",국어국문학과,
21,전선,영상문학론,가좌캠퍼스,3.0,"화1,2[101-0352],목3,4[101-0352]","화1,2[101-0352]","목3,4[101-0352]",국어국문학과,
22,전선,시가·노랫말·콘텐츠,가좌캠퍼스,3.0,"월8,9,10[101-0352]","월8,9,10[101-0352]",,국어국문학과,
23,전필,기초독일어1,가좌캠퍼스,3.0,"수5[101-0229],금6,7[101-0229]",수5[101-0229],"금6,7[101-0229]",독어독문학과,
24,전선,독일어발음과어휘,가좌캠퍼스,3.0,"월3,4[101-0229],목4[101-0229]","월3,4[101-0229]",목4[101-0229],독어독문학과,
25,전필,생활독일어2,가좌캠퍼스,2.0,"월6,7[101-0444],수6,7[101-0444]","월6,7[101-0444]","수6,7[101-0444]",독어독문학과,
26,전필,생활독일어2,가좌캠퍼스,2.0,"화3,4[101-0444],목1,2[101-0444]","화3,4[101-0444]","목1,2[101-0444]",독어독문학과,
27,전선,독일문화사,가좌캠퍼스,3.0,"수5[101-0444],금6,7[101-0444]",수5[101-0444],"금6,7[101-0444]",독어독문학과,
28,전선,독문번역연습1,가좌캠퍼스,3.0,"화8,9[101-0229],목9[101-0229]","화8,9[101-0229]",목9[101-0229],독어독문학과,
29,전선,영화로읽는독일문학,가좌캠퍼스,3.0,"월8,9[101-0229],목8[101-0229]","월8,9[101-0229]",목8[101-0229],독어독문학과,
30,전선,독일어음성학,가좌캠퍼스,3.0,"화1,2[101-0229],목3[101-0229]","화1,2[101-0229]",목3[101-0229],독어독문학과,
31,전필,독일어작문1,가좌캠퍼스,2.0,"월5[101-0229],수3,4[101-0229]",월5[101-0229],"수3,4[101-0229]",독어독문학과,
32,전선,유럽연합의이해,가좌캠퍼스,3.0,"화3[101-0229],목1,2[101-0229]",화3[101-0229],"목1,2[101-0229]",독어독문학과,
33,전선,취업독일어CEFRA,가좌캠퍼스,3.0,"화8,9[101-0444],목9[101-0444]","화8,9[101-0444]",목9[101-0444],독어독문학과,
34,전선,독일어교과교육론,가좌캠퍼스,3.0,"금8,9,10[101-0229]","금8,9,10[101-0229]",,독어독문학과,
35,전선,독일문학사,가좌캠퍼스,3.0,"월6,7[101-0229],목5[101-0229]","월6,7[101-0229]",목5[101-0229],독어독문학과,
36,전선,독일어학개론,가좌캠퍼스,3.0,"화5[101-0444],목6,7[101-0444]",화5[101-0444],"목6,7[101-0444]",독어독문학과,
37,전선,독일어권지역사정과미래설계,가좌캠퍼스,3.0,"수1,2[101-0229],금3[101-0229]","수1,2[101-0229]",금3[101-0229],독어독문학과,
38,전선,한독언어비교,가좌캠퍼스,3.0,"화6,7[101-0444],목5[101-0444]","화6,7[101-0444]",목5[101-0444],독어독문학과,
39,전선,독일지역학연구방법론,가좌캠퍼스,3.0,"수6,7[101-0229],금4[101-0229]","수6,7[101-0229]",금4[101-0229],독어독문학과,
40,전선,북유럽신화와서사문화,가좌캠퍼스,3.0,"월8,9[101-0444],목8[101-0444]","월8,9[101-0444]",목8[101-0444],독어독문학과,
41,전선,유럽작가와대도시,가좌캠퍼스,3.0,"화5[101-0229],목6,7[101-0229]",화5[101-0229],"목6,7[101-0229]",독어독문학과,
42,전필,러시아어문법1,가좌캠퍼스,2.0,"수1,2[101-0344]","수1,2[101-0344]",,러시아학과,
43,전필,초급러시아어회화1,가좌캠퍼스,1.0,"월1,2[101-0344]","월1,2[101-0344]",,러시아학과,
44,전필,초급러시아어회화1,가좌캠퍼스,1.0,"월3,4[101-0344]","월3,4[101-0344]",,러시아학과,
45,전필,언어실습1,가좌캠퍼스,1.0,"금1,2[101-0447]","금1,2[101-0447]",,러시아학과,
46,전필,언어실습1,가좌캠퍼스,1.0,"금3,4[101-0447]","금3,4[101-0447]",,러시아학과,
47,전선,초급러시아어1,가좌캠퍼스,3.0,"화5[101-0344],목6,7[101-0344]",화5[101-0344],"목6,7[101-0344]",러시아학과,
48,전필,러시아학개론,가좌캠퍼스,3.0,"금8,9,10[101-0344]","금8,9,10[101-0344]",,러시아학과,
49,전선,어드벤처디자인,가좌캠퍼스,2.0,"수1,2[101-0123]","수1,2[101-0123]",,러시아학과,
50,전선,중급러시아어1,가좌캠퍼스,3.0,"월5[101-0344],수6,7[101-0344]",월5[101-0344],"수6,7[101-0344]",러시아학과,
51,전선,중급러시아어회화1,가좌캠퍼스,1.0,"월8,9[101-0447]","월8,9[101-0447]",,러시아학과,
52,전선,러시아문학강독,가좌캠퍼스,3.0,"월1,2[101-0447],수3[101-0447]","월1,2[101-0447]",수3[101-0447],러시아학과,
53,전선,러시아사1,가좌캠퍼스,3.0,"월6,7[101-0344],목5[101-0344]","월6,7[101-0344]",목5[101-0344],러시아학과,
54,전선,포스트소비에트공간문화원형발굴과콘텐츠화,가좌캠퍼스,2.0,"목1,2[101-0344]","목1,2[101-0344]",,러시아학과,
55,전선,캡스톤디자인1,가좌캠퍼스,2.0,"화6,7[101-0344]","화6,7[101-0344]",,러시아학과,
56,전선,고급러시아어,가좌캠퍼스,2.0,"금6,7[101-0447]","금6,7[101-0447]",,러시아학과,
57,전선,러시아어학개론,가좌캠퍼스,3.0,"화1,2[101-0344],목3[101-0344]","화1,2[101-0344]",목3[101-0344],러시아학과,
58,전선,고급러시아어회화,가좌캠퍼스,1.0,"금8,9[101-0447]","금8,9[101-0447]",,러시아학과,
59,전선,러시아의지리,가좌캠퍼스,3.0,"금1,2,3[101-0344]","금1,2,3[101-0344]",,러시아학과,
60,전선,러시아어교과교육론,가좌캠퍼스,3.0,"월8,9[101-0344],목8[101-0344]","월8,9[101-0344]",목8[101-0344],러시아학과,
63,전선,러시아·CIS디지털문화예술,가좌캠퍼스,2.0,"화3,4[101-0344]","화3,4[101-0344]",,러시아학과,
64,전선,실전러시아어,가좌캠퍼스,2.0,"화6,7[101-0447]","화6,7[101-0447]",,러시아학과,
65,전선,러시아문학과영상예술,가좌캠퍼스,3.0,"월5[101-0447],수6,7[101-0447]",월5[101-0447],"수6,7[101-0447]",러시아학과,
66,전선,비즈니스러시아어,가좌캠퍼스,3.0,"화5[101-0447],목6,7[101-0447]",화5[101-0447],"목6,7[101-0447]",러시아학과,
67,전선,러시아사상사,가좌캠퍼스,3.0,"화8,9[101-0344],목9[101-0344]","화8,9[101-0344]",목9[101-0344],러시아학과,
68,전선,러시아어교재연구및지도법,가좌캠퍼스,3.0,"월6,7[101-0447],목5[101-0447]","월6,7[101-0447]",목5[101-0447],러시아학과,
69,전선,현대러시아정치·경제,가좌캠퍼스,3.0,"금5,6,7[101-0344]","금5,6,7[101-0344]",,러시아학과,
70,전선,프랑스사회문화의이해,가좌캠퍼스,3.0,"화6,7[102-0210],금5[102-0210]","화6,7[102-0210]",금5[102-0210],불어불문학과,
71,전선,기초프랑스어1,가좌캠퍼스,3.0,"화1,2[102-0210],목3,4[102-0210]","화1,2[102-0210]","목3,4[102-0210]",불어불문학과,
72,전선,프랑스어발음과어휘,가좌캠퍼스,3.0,"월8,9[102-0210],목8[102-0210]","월8,9[102-0210]",목8[102-0210],불어불문학과,
73,전필,중급프랑스어회화,가좌캠퍼스,1.0,"월1,2[102-0210]","월1,2[102-0210]",,불어불문학과,
74,전필,중급프랑스어회화,가좌캠퍼스,1.0,"수1,2[102-0210]","수1,2[102-0210]",,불어불문학과,
75,전선,프랑스어와컴퓨터,가좌캠퍼스,3.0,"화1,2[101-0237],목3,4[101-0237]","화1,2[101-0237]","목3,4[101-0237]",불어불문학과,
76,전선,프랑스어권문화산책,가좌캠퍼스,3.0,"월6,7[102-0210],목5[102-0210]","월6,7[102-0210]",목5[102-0210],불어불문학과,
77,전선,실용프랑스어A1,가좌캠퍼스,3.0,"화6,7[101-0237],금5[101-0237]","화6,7[101-0237]",금5[101-0237],불어불문학과,
78,전선,프랑스·아프리카단편애니메이션,가좌캠퍼스,3.0,"화5[101-0237],목6,7[101-0237]",화5[101-0237],"목6,7[101-0237]",불어불문학과,
79,전필,프랑스어델프B1,가좌캠퍼스,1.0,"화3,4[102-0210]","화3,4[102-0210]",,불어불문학과,
80,전필,프랑스어델프B1,가좌캠퍼스,1.0,"수3,4[102-0210]","수3,4[102-0210]",,불어불문학과,
81,전선,프랑스공연예술,가좌캠퍼스,3.0,"화5[102-0210],목6,7[102-0210]",화5[102-0210],"목6,7[102-0210]",불어불문학과,
82,전선,실용프랑스어B1,가좌캠퍼스,3.0,"월3,4[102-0210],목1,2[102-0210]","월3,4[102-0210]","목1,2[102-0210]",불어불문학과,
83,전선,프랑스소설과미술,가좌캠퍼스,3.0,"월5[101-0237],수6,7[101-0237]",월5[101-0237],"수6,7[101-0237]",불어불문학과,
84,전선,프랑스시와샹송,가좌캠퍼스,3.0,"월8,9[101-0237],목8[101-0237]","월8,9[101-0237]",목8[101-0237],불어불문학과,
85,전선,디지털응용프랑스언어학,가좌캠퍼스,3.0,"수5[101-0123],금6,7[101-0123]",수5[101-0123],"금6,7[101-0123]",불어불문학과,
86,전필,고급프랑스어회화,가좌캠퍼스,1.0,"화8,9[102-0210]","화8,9[102-0210]",,불어불문학과,
87,전선,프랑스어교재연구및지도법,가좌캠퍼스,3.0,"수1,2[101-0237],금3[101-0237]","수1,2[101-0237]",금3[101-0237],불어불문학과,
88,전선,프랑스현대문화비평,가좌캠퍼스,3.0,"월6,7[101-0237],목5[101-0237]","월6,7[101-0237]",목5[101-0237],불어불문학과,
89,전선,컴퓨터지원번역연습,가좌캠퍼스,3.0,"화3,4[101-0123],금1,2[101-0123]","화3,4[101-0123]","금1,2[101-0123]",불어불문학과,
90,전선,한국사학개설1,가좌캠퍼스,3.0,"월7,8,9[101-0245]","월7,8,9[101-0245]",,사학과,
91,전선,서양사학개설1,가좌캠퍼스,3.0,"목7,8,9[101-0245]","목7,8,9[101-0245]",,사학과,
92,전선,동양사학개설2,가좌캠퍼스,3.0,"화2,3,4[101-0136]","화2,3,4[101-0136]",,사학과,
93,전선,서양고중세사특강,가좌캠퍼스,3.0,"목2,3,4[101-0245]","목2,3,4[101-0245]",,사학과,
94,전선,한국사강독1,가좌캠퍼스,3.0,"화8,9,10[101-0245]","화8,9,10[101-0245]",,사학과,
95,전선,한국사학개설3,가좌캠퍼스,3.0,"수2,3,4[101-0245]","수2,3,4[101-0245]",,사학과,
96,전선,역사연구방법론,가좌캠퍼스,3.0,"월8,9,10[102-0111]","월8,9,10[102-0111]",,사학과,
98,전선,역사유적현장학습:캡스톤디자인,가좌캠퍼스,3.0,"수5,6,7[101-0245]","수5,6,7[101-0245]",,사학과,
99,전선,동양사강독,가좌캠퍼스,3.0,"목8,9,10[101-0352]","목8,9,10[101-0352]",,사학과,
100,전선,동양사의제문제2,가좌캠퍼스,3.0,"화5,6,7[101-0245]","화5,6,7[101-0245]",,사학과,
103,전선,도시의역사와문화,가좌캠퍼스,3.0,"화2,3,4[101-0245]","화2,3,4[101-0245]",,사학과,
104,전선,세계역사콘텐츠1,가좌캠퍼스,3.0,"목2,3,4[101-0136]","목2,3,4[101-0136]",,사학과,
105,전선,한국사특강1,가좌캠퍼스,2.0,"월5,6[101-0245]","월5,6[101-0245]",,사학과,
109,전선,역사연구지도1,가좌캠퍼스,3.0,"화8,9,10[101-0352]","화8,9,10[101-0352]",,사학과,
110,전선,한국근현대사특강,가좌캠퍼스,3.0,"목5,6,7[101-0233]","목5,6,7[101-0233]",,사학과,
111,전선,초급중국어1,가좌캠퍼스,3.0,"월3[101-0343],목1,2[101-0343]",월3[101-0343],"목1,2[101-0343]",중어중문학과,
112,전선,초급중국어1,가좌캠퍼스,3.0,"금1,2,3[101-0343]","금1,2,3[101-0343]",,중어중문학과,
113,전선,중국어문학입문,가좌캠퍼스,3.0,"화1,2[101-0343],목3[101-0343]","화1,2[101-0343]",목3[101-0343],중어중문학과,
114,전선,중국어연습1,가좌캠퍼스,1.0,"수6,7[102-0404]","수6,7[102-0404]",,중어중문학과,
115,전선,중국어연습1,가좌캠퍼스,1.0,"수1,2[101-0343]","수1,2[101-0343]",,중어중문학과,
116,전필,중국어회화연습1,가좌캠퍼스,1.0,"화3,4[101-0343]","화3,4[101-0343]",,중어중문학과,
117,전필,중국어회화연습1,가좌캠퍼스,1.0,"금6,7[102-0404]","금6,7[102-0404]",,중어중문학과,
118,전선,중국어어휘론,가좌캠퍼스,3.0,"월6,7[101-0343],목5[101-0343]","월6,7[101-0343]",목5[101-0343],중어중문학과,
119,전선,중국문학개론,가좌캠퍼스,3.0,"화5[102-0404],목6,7[102-0404]",화5[102-0404],"목6,7[102-0404]",중어중문학과,
120,전선,중국어학개론,가좌캠퍼스,3.0,"월3[102-0404],목1,2[102-0404]",월3[102-0404],"목1,2[102-0404]",중어중문학과,
121,전선,중급중국어1,가좌캠퍼스,3.0,"월5[101-0343],수6,7[101-0343]",월5[101-0343],"수6,7[101-0343]",중어중문학과,
122,전선,중국역대산문선독1,가좌캠퍼스,3.0,"수1,2,3[102-0404]","수1,2,3[102-0404]",,중어중문학과,
123,전필,중국문학사1,가좌캠퍼스,3.0,"화1,2[102-0404],목3[102-0404]","화1,2[102-0404]",목3[102-0404],중어중문학과,
124,전필,중국어회화연습2,가좌캠퍼스,1.0,"월8,9[102-0404]","월8,9[102-0404]",,중어중문학과,
125,전필,중국어회화연습2,가좌캠퍼스,1.0,"화6,7[101-0343]","화6,7[101-0343]",,중어중문학과,
126,전선,고급중국어1,가좌캠퍼스,3.0,"수5[101-0343],금6,7[101-0343]",수5[101-0343],"금6,7[101-0343]",중어중문학과,
127,전선,경서강독,가좌캠퍼스,2.0,"수3,4[101-0343]","수3,4[101-0343]",,중어중문학과,
128,전선,중국어교과교육론,가좌캠퍼스,3.0,"화8,9[102-0404],목9[102-0404]","화8,9[102-0404]",목9[102-0404],중어중문학과,
129,전선,중국고전소설,가좌캠퍼스,3.0,"화5[101-0343],목6,7[101-0343]",화5[101-0343],"목6,7[101-0343]",중어중문학과,
130,전필,중국어회화연습3,가좌캠퍼스,1.0,"화3,4[102-0404]","화3,4[102-0404]",,중어중문학과,
131,전필,중국어회화연습3,가좌캠퍼스,1.0,"화8,9[101-0343]","화8,9[101-0343]",,중어중문학과,
132,전선,비즈니스중국어,가좌캠퍼스,3.0,"금1,2,3[102-0404]","금1,2,3[102-0404]",,중어중문학과,
133,전선,중국지역학창의융합PBL1,가좌캠퍼스,2.0,"목8,9[101-0343]","목8,9[101-0343]",,중어중문학과,
134,전선,당송시가,가좌캠퍼스,3.0,"월6,7[102-0404],목5[102-0404]","월6,7[102-0404]",목5[102-0404],중어중문학과,
135,전선,중국어교재연구및지도법,가좌캠퍼스,3.0,"월2,3,4[101-0417]","월2,3,4[101-0417]",,중어중문학과,
136,전선,중국공연영상예술의이해,가좌캠퍼스,3.0,"월8,9,10[101-0343]","월8,9,10[101-0343]",,중어중문학과,
137,전선,동양철학입문,가좌캠퍼스,3.0,"월5[102-0217],수6,7[102-0217]",월5[102-0217],"수6,7[102-0217]",철학과,
138,전선,철학과현실,가좌캠퍼스,2.0,"금3,4[102-0217]","금3,4[102-0217]",,철학과,
139,전선,서양고·중세철학사,가좌캠퍼스,3.0,"월3[102-0217],목1,2[102-0217]",월3[102-0217],"목1,2[102-0217]",철학과,
140,전선,문화철학,가좌캠퍼스,3.0,"화5[102-0217],목6,7[102-0217]",화5[102-0217],"목6,7[102-0217]",철학과,
141,전선,철학적분석,가좌캠퍼스,3.0,"월6,7[102-0217],목5[102-0217]","월6,7[102-0217]",목5[102-0217],철학과,
142,전선,인도철학사,가좌캠퍼스,3.0,"화1,2[101-0234],목3[101-0234]","화1,2[101-0234]",목3[101-0234],철학과,
143,전선,윤리학,가좌캠퍼스,3.0,"화8,9[102-0217],목9[102-0217]","화8,9[102-0217]",목9[102-0217],철학과,
144,전선,기호논리학,가좌캠퍼스,3.0,"화1,2[102-0217],목3[102-0217]","화1,2[102-0217]",목3[102-0217],철학과,
145,전선,한국철학사,가좌캠퍼스,3.0,"화8,9[101-0234],목9[101-0234]","화8,9[101-0234]",목9[101-0234],철학과,
146,전선,형이상학,가좌캠퍼스,3.0,"월5[101-0234],수6,7[101-0234]",월5[101-0234],"수6,7[101-0234]",철학과,
147,전선,실존철학,가좌캠퍼스,3.0,"화6,7[101-0234],금5[101-0234]","화6,7[101-0234]",금5[101-0234],철학과,
148,전선,철학교육론,가좌캠퍼스,3.0,"월6,7[101-0234],목5[101-0234]","월6,7[101-0234]",목5[101-0234],철학과,
149,전선,동아시아불교사,가좌캠퍼스,3.0,"월8,9[101-0234],목8[101-0234]","월8,9[101-0234]",목8[101-0234],철학과,
150,전선,정치사회철학,가좌캠퍼스,3.0,"화5[101-0234],목6,7[101-0234]",화5[101-0234],"목6,7[101-0234]",철학과,
151,전선,매체철학,가좌캠퍼스,3.0,"금1,2,3[101-0234]","금1,2,3[101-0234]",,철학과,
152,전선,심리철학,가좌캠퍼스,3.0,"월3[101-0234],목1,2[101-0234]",월3[101-0234],"목1,2[101-0234]",철학과,
153,전선,철학과논술,가좌캠퍼스,3.0,"수1,2,3[101-0234]","수1,2,3[101-0234]",,철학과,
154,전선,중국철학사상,가좌캠퍼스,3.0,"월8,9[102-0217],목8[102-0217]","월8,9[102-0217]",목8[102-0217],철학과,
155,전선,한문의첫걸음,가좌캠퍼스,3.0,"월3[102-0410],목1,2[102-0410]",월3[102-0410],"목1,2[102-0410]",한문학과,
156,전선,한문문법의이해,가좌캠퍼스,2.0,"화6,7[101-0351]","화6,7[101-0351]",,한문학과,
157,전필,한문학개론,가좌캠퍼스,3.0,"월8,9[101-0351],목8[101-0351]","월8,9[101-0351]",목8[101-0351],한문학과,
158,전선,한문학작가론,가좌캠퍼스,2.0,"수6,7[102-0410]","수6,7[102-0410]",,한문학과,
159,전선,논어읽기2,가좌캠퍼스,3.0,"화5[101-0351],목6,7[101-0351]",화5[101-0351],"목6,7[101-0351]",한문학과,
160,전선,한국역사서읽기,가좌캠퍼스,3.0,"월1,2[101-0351],수3[101-0351]","월1,2[101-0351]",수3[101-0351],한문학과,
161,전선,한국한문학콘텐츠이론,가좌캠퍼스,3.0,"화1,2[102-0410],목3[102-0410]","화1,2[102-0410]",목3[102-0410],한문학과,
162,전선,일본문화와한자,가좌캠퍼스,3.0,"월6,7[102-0410],목5[102-0410]","월6,7[102-0410]",목5[102-0410],한문학과,
163,전필,한국한문학사1,가좌캠퍼스,3.0,"화3,4[101-0351],금1,2[101-0351]","화3,4[101-0351]","금1,2[101-0351]",한문학과,
164,전선,한문교과교육론,가좌캠퍼스,3.0,"수5[101-0351],금6,7[101-0351]",수5[101-0351],"금6,7[101-0351]",한문학과,
165,전선,맹자읽기2,가좌캠퍼스,3.0,"화1,2[101-0351],목3[101-0351]","화1,2[101-0351]",목3[101-0351],한문학과,
166,전선,한문학비평의세계,가좌캠퍼스,3.0,"월5[101-0351],수6,7[101-0351]",월5[101-0351],"수6,7[101-0351]",한문학과,
167,전선,한문학과경남문화콘텐츠,가좌캠퍼스,3.0,"월3[101-0351],목1,2[101-0351]",월3[101-0351],"목1,2[101-0351]",한문학과,
168,전선,한문소설,가좌캠퍼스,3.0,"월6,7[101-0351],목5[101-0351]","월6,7[101-0351]",목5[101-0351],한문학과,
169,전선,남명학의이해,가좌캠퍼스,3.0,"월3[101-0440],목1,2[101-0440]",월3[101-0440],"목1,2[101-0440]",한문학과,
170,전선,한문교재연구및지도법,가좌캠퍼스,3.0,"화6,7[102-0410],금5[102-0410]","화6,7[102-0410]",금5[102-0410],한문학과,
171,전선,한문학과취업탐색,가좌캠퍼스,2.0,"수1,2[101-0351]","수1,2[101-0351]",,한문학과,
172,전선,중국문화와한자,가좌캠퍼스,3.0,"화8,9[101-0351],목9[101-0351]","화8,9[101-0351]",목9[101-0351],한문학과,
173,전선,영미문학개론,가좌캠퍼스,3.0,"화5[101-0136],목6,7[101-0136]",화5[101-0136],"목6,7[101-0136]",영어영문학부,
174,전선,영어학개론,가좌캠퍼스,3.0,"화8,9[101-0136],목9[101-0136]","화8,9[101-0136]",목9[101-0136],영어영문학부,
175,전선,영어학개론,가좌캠퍼스,3.0,"월1,2[101-0244],수3[101-0244]","월1,2[101-0244]",수3[101-0244],영어영문학부,
176,전필,기초영작문,가좌캠퍼스,3.0,"월8,9[101-0233],목8[101-0233]","월8,9[101-0233]",목8[101-0233],영어영문학부,
177,전필,기초영작문,가좌캠퍼스,3.0,"화6,7[101-0233],금5[101-0233]","화6,7[101-0233]",금5[101-0233],영어영문학부,
178,전선,영미희곡,가좌캠퍼스,3.0,"월5[101-0244],수6,7[101-0244]",월5[101-0244],"수6,7[101-0244]",영어영문학부,
179,전선,영국문학사1,가좌캠퍼스,3.0,"금1,2,3[101-0244]","금1,2,3[101-0244]",,영어영문학부,
180,전선,DIY영문법콘텐츠,가좌캠퍼스,3.0,"월8,9[101-0123],목8[101-0123]","월8,9[101-0123]",목8[101-0123],영어영문학부,
181,전선,현대영미시와디지털아트의이해,가좌캠퍼스,3.0,"화5[101-0233],목6,7[101-0123]",화5[101-0233],"목6,7[101-0123]",영어영문학부,
182,전선,영어권문화의이해와콘텐츠제작실습,가좌캠퍼스,3.0,"화1,2[101-0123],목3[101-0123]","화1,2[101-0123]",목3[101-0123],영어영문학부,
183,전필,고급영작문,가좌캠퍼스,3.0,"화1,2[101-0233],목3[101-0233]","화1,2[101-0233]",목3[101-0233],영어영문학부,
184,전필,고급영작문,가좌캠퍼스,3.0,"화3[101-0233],금1,2[101-0233]",화3[101-0233],"금1,2[101-0233]",영어영문학부,
185,전선,19세기영미소설,가좌캠퍼스,3.0,"수5[101-0244],금6,7[101-0244]",수5[101-0244],"금6,7[101-0244]",영어영문학부,
186,전선,영어의역사와어형태,가좌캠퍼스,3.0,"화5[101-0244],목6,7[101-0244]",화5[101-0244],"목6,7[101-0244]",영어영문학부,
187,전선,영어문장구조의이해,가좌캠퍼스,3.0,"수1,2[101-0244],금4[101-0244]","수1,2[101-0244]",금4[101-0244],영어영문학부,
188,전선,인류세의시학과철학,가좌캠퍼스,3.0,"화6,7[101-0244],금5[101-0244]","화6,7[101-0244]",금5[101-0244],영어영문학부,
189,전선,영어음운론,가좌캠퍼스,3.0,"화8,9[101-0244],목9[101-0244]","화8,9[101-0244]",목9[101-0244],영어영문학부,
190,전선,현대영미소설,가좌캠퍼스,3.0,"월1,2,3[101-0233]","월1,2,3[101-0233]",,영어영문학부,
191,전선,영미연극과영화,가좌캠퍼스,3.0,"월6,7[101-0244],목5[101-0244]","월6,7[101-0244]",목5[101-0244],영어영문학부,
192,전선,영어와국제생활,가좌캠퍼스,3.0,"월5[101-0451],수6,7[101-0451]",월5[101-0451],"수6,7[101-0451]",영어영문학부,
193,전선,영어표현연습1,가좌캠퍼스,3.0,"월6,7[101-0450],목5[101-0450]","월6,7[101-0450]",목5[101-0450],영어영문학부,
194,전필,영어학의이해Ⅰ,가좌캠퍼스,3.0,"화8,9[101-0451],목9[101-0451]","화8,9[101-0451]",목9[101-0451],영어영문학부,
195,전필,영국시를통한영어연습,가좌캠퍼스,3.0,"월8,9[101-0450],목8[101-0450]","월8,9[101-0450]",목8[101-0450],영어영문학부,
196,전필,영어번역의이론과실제,가좌캠퍼스,3.0,"월5[101-0450],수6,7[101-0450]",월5[101-0450],"수6,7[101-0450]",영어영문학부,
197,전선,영어어휘교육PBL,가좌캠퍼스,3.0,"금1,2,3[101-0450]","금1,2,3[101-0450]",,영어영문학부,
198,전선,영국문화의이해,가좌캠퍼스,3.0,"화1,2[101-0451],목3[101-0451]","화1,2[101-0451]",목3[101-0451],영어영문학부,
199,전필,영어읽기와비판적사고,가좌캠퍼스,3.0,"월3[101-0451],목1,2[101-0451]",월3[101-0451],"목1,2[101-0451]",영어영문학부,
200,전필,영어인터뷰PBL,가좌캠퍼스,3.0,"금5,6,7[101-0450]","금5,6,7[101-0450]",,영어영문학부,
201,전필,영어학의이해Ⅱ,가좌캠퍼스,3.0,"화5[101-0450],목6,7[101-0450]",화5[101-0450],"목6,7[101-0450]",영어영문학부,
202,전선,스마트영작문,가좌캠퍼스,3.0,"화1,2[101-0450],목3[101-0450]","화1,2[101-0450]",목3[101-0450],영어영문학부,
203,전선,영어말소리분석,가좌캠퍼스,3.0,"월1,2[101-0451],수3[101-0450]","월1,2[101-0451]",수3[101-0450],영어영문학부,
204,전필,영문법특강,가좌캠퍼스,3.0,"금1,2,3[101-0451]","금1,2,3[101-0451]",,영어영문학부,
205,전선,응용비지니스영작문,가좌캠퍼스,3.0,"화8,9[101-0450],목9[101-0450]","화8,9[101-0450]",목9[101-0450],영어영문학부,
206,전선,소셜네트워크영어PBL,가좌캠퍼스,3.0,"월1,2,3[101-0450]","월1,2,3[101-0450]",,영어영문학부,
207,전선,영어학특강,가좌캠퍼스,3.0,"월6,7[101-0451],목5[101-0451]","월6,7[101-0451]",목5[101-0451],영어영문학부,
208,전선,무용학개론,가좌캠퍼스,2.0,"수8,9[102-0111]","수8,9[102-0111]",,민속예술무용학과,
209,전선,현대무용1,가좌캠퍼스,1.0,"목3,4[102-0105]","목3,4[102-0105]",,민속예술무용학과,
212,전선,민속예술1,가좌캠퍼스,1.0,"화6,7[102-0109]","화6,7[102-0109]",,민속예술무용학과,
213,전선,민속학,가좌캠퍼스,2.0,"수6,7[102-0111]","수6,7[102-0111]",,민속예술무용학과,
217,전선,레파토리,가좌캠퍼스,1.0,"수1,2[102-0105]","수1,2[102-0105]",,민속예술무용학과,
